Codigo;Descripcion;UbicacionCorregida;DisponibleCodigo;UDS_1Mes;UDS_3Meses;Almacen;Catalogo;Obsoleto;Tipo;UbicacionCodigo;Padre;UbicacionPadre;DisponiblePadre;Volumen;Peso;DeptATerceros;DeptDeTerceros;UbicacionCodigoAlt1;UbicacionCodigoAlt2;Existencias;MOSTRAR EN HEATMAP
P345360B3EM;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Kit de emergencia;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360B3EMMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BAP;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Control por Voz;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BAPMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Control por Voz;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BCA;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Casambi;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BCAMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Casambi;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BDP;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. DALI/Push;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,054925;5,13;0;0;;;0;
P345360BDPMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. DALI/Push;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BDT;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. Triac;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BDTMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. Triac;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BDV;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Dim. 1-10V;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BDVDP;Isia 3453/60 Plafón Blanco Texturado, LED 1x50W 3000K 4150lm, CL.I, LED integrado, Dim. 1-10V/Push;;0;;;OTRO;OTROS;VERDADERO;PT;;P345360B;;0;0,069696;5;0;0;;;0;
P345360BMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BMS;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Sensor de movimiento;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BMS1EM;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Sensor de movimiento, Kit de emergencia;;0;;;OTRO;OTROS;VERDADERO;PT;;P345360B;;0;0,069696;5;0;0;;;0;
P345360BMSMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Sensor de movimiento;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BRC;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Receptor Mando;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BRCMP;Isia 3453/60 Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Receptor Mando;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BRPC;Isia Plafón 3453/60 Blanco Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Sin Driver;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360BUL;Isia 3453/60 UL Plafón Blanco Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado;A06340;0;;;PT;OTROS;VERDADERO;PT;;P3453172B;A06340;252;0,069696;5;0;0;;;0;
P345360N;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,054925;5,34;0;0;;;0;
P345360N1EM;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Kit de emergencia;B04120;3;;;PT;OTROS;FALSO;PT;B04120;P3453172N;A09040;118;0,069696;5;0;0;;;3;
P345360N1EMMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360N3EM;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Kit de emergencia;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360N3EMMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NAP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Control por Voz;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NAPMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Control por Voz;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NCA;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Casambi;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NCAMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Casambi;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NDP;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. DALI/Push;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NDP1EM;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Kit de emergencia, Dim. DALI/Push;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NDPMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. DALI/Push;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NDT;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. Triac;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NDTMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. Triac;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NMS;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Sensor de movimiento;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
